filename;width;height;class;xmin;ymin;xmax;ymax
001_59bc13c9de989bb3ee188a2c6c7725fd_jpg.rf.f77ba7e79f401b3af15d04fbe2607243.jpg;416;416;aircraft;55;178;96;198
002_59bc13c9de989bb3ee188a2c6c7725fd_jpg.rf.f77ba7e79f401b3af15d04fbe2607243.jpg;416;416;aircraft;148;104;195;139
003_826a016c770a5e6029d181ffc2ee5797_jpg.rf.f794fb3a4a9a48d1686d0062cf04af12.jpg;416;416;aircraft;167;257;209;291
004_826a016c770a5e6029d181ffc2ee5797_jpg.rf.f794fb3a4a9a48d1686d0062cf04af12.jpg;416;416;aircraft;261;261;294;282
005_5dc8ad86b635564c6aa080aacd1c49f9_jpg.rf.f7c790323931113f38e23bff72aaefb0.jpg;416;416;aircraft;165;284;271;331
006_5dc8ad86b635564c6aa080aacd1c49f9_jpg.rf.f7c790323931113f38e23bff72aaefb0.jpg;416;416;aircraft;116;209;230;262
007_1c75f15160ff77289b4e6e80f1307a91_jpg.rf.f7d52bc3ee921a0453a85f7cde2570cc.jpg;416;416;aircraft;13;135;395;296
008_f0ff55882e7e993c56fba363eb88eed8_jpg.rf.f7d8de2a3dc00f5d32caf548f4b83ea8.jpg;416;416;aircraft;208;233;228;240
009_8214bcb494930a08b581ae044287c883_jpg.rf.f7f20fed6421d634616727ace66db984.jpg;416;416;aircraft;1;12;416;285
010_b6bc5c4766704af4c19571a7d40a1326_jpg.rf.f7fdd5bd982808068a6102ba23999e8a.jpg;416;416;aircraft;148;103;161;127
011_f778f785b9dbe226d579536552bc8ad3_jpg.rf.f83316e1603f38c1d53f5e0c27e5dbd7.jpg;416;416;aircraft;171;179;250;267
012_b587565e8b560b70b7c5e6657c7715ea_jpg.rf.f76d4cfbc85a617d1291f17d5a9d96b8.jpg;416;416;aircraft;65;265;361;342
013_b587565e8b560b70b7c5e6657c7715ea_jpg.rf.f76d4cfbc85a617d1291f17d5a9d96b8.jpg;416;416;aircraft;82;222;328;286
014_b587565e8b560b70b7c5e6657c7715ea_jpg.rf.f76d4cfbc85a617d1291f17d5a9d96b8.jpg;416;416;aircraft;124;171;327;224
015_b587565e8b560b70b7c5e6657c7715ea_jpg.rf.f76d4cfbc85a617d1291f17d5a9d96b8.jpg;416;416;aircraft;140;142;319;186
016_b587565e8b560b70b7c5e6657c7715ea_jpg.rf.f76d4cfbc85a617d1291f17d5a9d96b8.jpg;416;416;aircraft;152;125;317;156
017_b587565e8b560b70b7c5e6657c7715ea_jpg.rf.f76d4cfbc85a617d1291f17d5a9d96b8.jpg;416;416;aircraft;159;102;309;138
018_b587565e8b560b70b7c5e6657c7715ea_jpg.rf.f76d4cfbc85a617d1291f17d5a9d96b8.jpg;416;416;aircraft;167;79;303;111
019_b587565e8b560b70b7c5e6657c7715ea_jpg.rf.f76d4cfbc85a617d1291f17d5a9d96b8.jpg;416;416;aircraft;178;61;303;89
020_0d8a65169ddb019232c63587d3cc6ad9_jpg.rf.f82dbad67f65285e6c86465214e65149.jpg;416;416;aircraft;65;79;337;298
021_0d8a65169ddb019232c63587d3cc6ad9_jpg.rf.f82dbad67f65285e6c86465214e65149.jpg;416;416;aircraft;162;0;320;66
022_0d8a65169ddb019232c63587d3cc6ad9_jpg.rf.f82dbad67f65285e6c86465214e65149.jpg;416;416;aircraft;111;1;228;51
023_0d8a65169ddb019232c63587d3cc6ad9_jpg.rf.f82dbad67f65285e6c86465214e65149.jpg;416;416;aircraft;29;1;145;44
024_cbbd3c85d55c1e2babdffc0b5dcaea27_jpg.rf.f87af9d754d6381309bd86f14ae41b82.jpg;416;416;aircraft;38;193;358;276
025_c521f90f23149a8ee7b16d30b37a6526_jpg.rf.f75a7cf655091779c966418439203255.jpg;416;416;aircraft;117;120;267;182
026_8d13af9fddccacd38ae228a90ae5dde4_jpg.rf.f88cbfe505757616ad90d501ff55e1b5.jpg;416;416;aircraft;154;175;370;272
027_f5b79bba49ada13ed1c2d075e25fcb8b_jpg.rf.f867ef8875ca87fd868b6a7255b412e2.jpg;416;416;aircraft;72;27;355;385
028_69310e9db75a6becae89bf7b9146e23f_jpg.rf.f84b7877e57578be0ab7462b6fba457f.jpg;416;416;aircraft;157;109;229;137
029_4cdcfc7b40c1bdb4593844acfe699ca1_jpg.rf.f899d93666e541bc3ba5700c161ed8a3.jpg;416;416;aircraft;88;151;178;187
030_4cdcfc7b40c1bdb4593844acfe699ca1_jpg.rf.f899d93666e541bc3ba5700c161ed8a3.jpg;416;416;aircraft;136;159;179;177
031_1d52576b5bdc2e1de27ebc1d6ef44364_jpg.rf.f87c9c53e0dd6b913f6f43c437d784d3.jpg;416;416;aircraft;20;127;400;243
032_4fb6aaecd86ccf9ecc12bffef82c8da6_jpg.rf.f8a09942c69fc9fa4870d7428c828c3e.jpg;416;416;aircraft;51;161;119;175
033_4fb6aaecd86ccf9ecc12bffef82c8da6_jpg.rf.f8a09942c69fc9fa4870d7428c828c3e.jpg;416;416;aircraft;95;219;234;262
034_4fb6aaecd86ccf9ecc12bffef82c8da6_jpg.rf.f8a09942c69fc9fa4870d7428c828c3e.jpg;416;416;aircraft;266;160;349;178
035_712d4ebadae159e60f5ed9bbe0eb06fd_jpg.rf.f8ab1cbc182f11b476a95ec3887f05e0.jpg;416;416;aircraft;164;183;376;266
036_712d4ebadae159e60f5ed9bbe0eb06fd_jpg.rf.f8ab1cbc182f11b476a95ec3887f05e0.jpg;416;416;aircraft;128;174;273;230
037_6dbe988435cdc5e9ebce18b0f0e73bc8_jpg.rf.f886d4c6c679299b5373b6d2dc828987.jpg;416;416;aircraft;320;153;405;197
038_6dbe988435cdc5e9ebce18b0f0e73bc8_jpg.rf.f886d4c6c679299b5373b6d2dc828987.jpg;416;416;aircraft;0;81;328;214
039_fab97104869af84863cf90d598700dba_jpg.rf.f90fd69da0304824d4496b0848672f18.jpg;416;416;aircraft;67;103;361;164
040_75a4a454497627ea7d7f720a37317f7a_jpg.rf.f8a6d45271b84445e415cbef27b80b46.jpg;416;416;aircraft;109;184;213;264
041_75a4a454497627ea7d7f720a37317f7a_jpg.rf.f8a6d45271b84445e415cbef27b80b46.jpg;416;416;aircraft;0;176;148;280
042_75a4a454497627ea7d7f720a37317f7a_jpg.rf.f8a6d45271b84445e415cbef27b80b46.jpg;416;416;aircraft;177;64;416;316
