000_filename;width;height;class;xmin;ymin;xmax;ymax
001_images83-2-_jpg.rf.39bd0103827f286e7e812ea93fb5d170.jpg;225;225;Tank;32;3;195;223
002_481593_5__jpg.rf.39fed9e7eb9d56843e5880f98fcd0b9b.jpg;750;422;Tank;113;93;480;271
003_481593_5__jpg.rf.39fed9e7eb9d56843e5880f98fcd0b9b.jpg;750;422;Tank;220;17;396;99
004_images301-1-_jpg.rf.39feffb6068c96ebefabf16d8a9c4e7c.jpg;288;175;Tank;65;76;244;173
005_picture-461-_jpg.rf.3a59eb0c3e79cbc80d7ba9db79cbecb8.jpg;640;640;Tank;154;329;296;527
006_panther-f-top-view_jpg.rf.3a6b5f6d9d62e17b97a1deed71ef0d5a.jpg;1200;776;Tank;61;178;1078;662
007_sideup-6-_jpg.rf.3ac2216c2b6be631e9ae89d7103087d5.jpg;640;640;Tank;120;96;581;369
008_gptmens750x1000blacklarge-pad750x1000f8f8f8-u2_jpg.rf.3ae274f8c82beb089eb37de0ce82cd89.jpg;750;1000;Tank;251;321;485;445
009_t90-main-battle-tank-russia_11_jpg.rf.3af797ba230e8f25a7baf0a7dae66467.jpg;800;550;Tank;10;161;753;513
010_tiger1_scheme_jpg.rf.3b247237be790d0c1574cb13a0c86752.jpg;600;355;Tank;215;152;584;347
011_tiger1_scheme_jpg.rf.3b247237be790d0c1574cb13a0c86752.jpg;600;355;Tank;203;19;566;162
012_tiger1_scheme_jpg.rf.3b247237be790d0c1574cb13a0c86752.jpg;600;355;Tank;7;39;182;185
013_tiger1_scheme_jpg.rf.3b247237be790d0c1574cb13a0c86752.jpg;600;355;Tank;13;199;190;329
014_26bhishma01_jpg.rf.3b49a5be304db92ab58dd24ab713315c.jpg;670;384;Tank;138;170;437;342
015_26bhishma01_jpg.rf.3b49a5be304db92ab58dd24ab713315c.jpg;670;384;Tank;465;163;665;285
016_images111-1-_jpg.rf.3b532075605508f29672d765b880d180.jpg;299;168;Tank;12;41;292;130
017_5b90f31ed3806c2314bb7ac7_jpg.rf.3b5c90c98d5c621126db867f1d3ef06c.jpg;1920;1277;Tank;687;283;1719;804
018_picture-340-_jpg.rf.3b6185b956a3c9b2b03d124cb6c904f9.jpg;640;640;Tank;518;82;619;220
019_picture-340-_jpg.rf.3b6185b956a3c9b2b03d124cb6c904f9.jpg;640;640;Tank;285;126;377;234
020_images316-1-_jpg.rf.3ba10c71dbfb839a7d8a6119f2f802f5.jpg;225;225;Tank;2;36;223;214
021_Tankim_mp4-49_jpg.rf.3bb10345505a87a39c0a2920f8c382fb.jpg;640;640;Tank;120;185;223;294
022_upper-20-_noised_png_jpg.rf.3bb9603b95b26be1b482ba580a71fbb5.jpg;640;640;Tank;83;152;589;430
023_sideup-33-_inverted_png_jpg.rf.3bbd29f398f2d2c8140159a0162d1cb2.jpg;640;640;Tank;318;247;459;396
024_download-12-_jpg.rf.3c48ef3ddaa587c72bc756b8bfb5d853.jpg;640;640;Tank;88;200;590;478
025_military-tank-side-top-view-isolated-white-military-tank-side-top-view-isolated-white-d-rendering-143700222_jpg.rf.3c7cba732ccdef56ebaa80960f8a1f07.jpg;800;785;Tank;58;383;741;774
026_military-tank-side-top-view-isolated-white-military-tank-side-top-view-isolated-white-d-rendering-143700222_jpg.rf.3c7cba732ccdef56ebaa80960f8a1f07.jpg;800;785;Tank;84;64;735;362
027_sideup-37-_noised_png_jpg.rf.3d0c7c9d8861ea7df561cf36f5761838.jpg;640;640;Tank;171;381;479;619
028_sideup-37-_noised_png_jpg.rf.3d0c7c9d8861ea7df561cf36f5761838.jpg;640;640;Tank;344;349;630;511
029_sideup-37-_noised_png_jpg.rf.3d0c7c9d8861ea7df561cf36f5761838.jpg;640;640;Tank;164;306;262;379
030_sideup-37-_noised_png_jpg.rf.3d0c7c9d8861ea7df561cf36f5761838.jpg;640;640;Tank;50;325;148;395
031_DSC_0874_jpg.rf.3d7d717ddc763f8c112d180b3cb5ccf1.jpg;1200;800;Tank;28;50;1186;607
032_sideup-44-_rotated_png_jpg.rf.3cf3fcd573e41cb943de0008150e9f89.jpg;640;640;Tank;130;23;508;328
033_picture-623-_jpg.rf.3dae27811272a5fb9793d3e44c3a8491.jpg;640;640;Tank;53;108;560;554
034_gallery-1507655548-m1a2sepv3abramstrophy_jpg.rf.3dc6df0b78813daead19bba802948418.jpg;1280;616;Tank;133;147;1140;535
035_images106-2-_jpg.rf.3dc7eb45a9b8bfa9cbd00eef90567766.jpg;259;194;Tank;39;44;222;181
036_images405_jpg.rf.3e38e5d339c394fd6e804c7c4f1b992f.jpg;297;170;Tank;12;14;281;145
037_sideup-10-_noised_png_jpg.rf.3e5e8d0937a2ca9e1cb3c314dbed0134.jpg;640;640;Tank;193;217;376;432
038_2M1Abrams_jpg.rf.3e408c91723bd7dd2ddb76c1d49eaf9d.jpg;620;330;Tank;8;89;514;315
039_Leopard-04_jpg.rf.3e8dae69501e8b7a3de153e2705b97c3.jpg;800;600;Tank;46;59;717;547
040_images108-1-_jpg.rf.3e9bf02704d5166940e9c86132564275.jpg;343;147;Tank;43;64;332;120
041_sideup-17-_jpg.rf.3eaa235a3591a4b816524a93b3317eed.jpg;640;640;Tank;0;19;640;629
042_picture-815-_jpg.rf.3eb44c0d5fd4add425e1e3360c03917d.jpg;640;640;Tank;225;190;480;479
043_10164668929_1310550287_1024x1024_jpg.rf.3ebc43425105fa057a3aeb516e875d63.jpg;800;800;Tank;12;94;793;552
044_download_jpeg_jpg.rf.3ec01df639a9c443899f8fdfc9b87575.jpg;416;416;Tank;115;143;319;256
045_images193-1-_jpg.rf.3f1a05d62d3c50ddf0c675397039e0f5.jpg;272;185;Tank;13;62;268;151
046_upper-2-_jpg.rf.3f0f166382e29d20e1d322aa9dca32e8.jpg;640;640;Tank;271;175;364;415
047_images214-2-_jpg.rf.3f72adf60ab1303dccbb19eff1d92ea5.jpg;276;182;Tank;26;43;264;149
048_Chieftain-Tank-For-Sale-1_jpg.rf.3f46cb6efc15ddd7a7705eb9920f9354.jpg;1600;1071;Tank;247;499;1447;906
049_maxresdefault16_jpg.rf.3e1104c9c14025dbbe5618dbde1b2bc2.jpg;1280;720;Tank;45;131;1064;617
050_images232-1-_jpg.rf.3ed7afcecc3890a9478997e44b12949c.jpg;259;194;Tank;8;64;237;175
051_images70-2-_jpg.rf.3f167827bcac6ba134752c7fd1c33af8.jpg;333;151;Tank;102;21;321;133
052_BMP-1_jpg.rf.3fddefd16a481c8be400d7d10b0f54d6.jpg;800;313;Tank;27;34;780;296
053_images295-1-_jpg.rf.403f59a6e27f72bd59af44589fa979ce.jpg;279;180;Tank;40;49;274;147
054_military-tank-aiming-a-bowl-of-salad-stock-image__k12580390_jpg.rf.40484e395c5214b1d46093a916b7e2b8.jpg;450;319;Tank;326;150;437;225
055_images62-2-_jpg.rf.40c67b979facaca760341eafb5485516.jpg;259;194;Tank;8;43;237;168
056_images625_jpg.rf.40a725cf34bfd340b54d932beb5f4e64.jpg;236;151;Tank;25;11;209;141
057_images271-1-_jpg.rf.410dc843843a535691057d62bf7586c1.jpg;259;194;Tank;4;45;213;159
058_upper-5-_noised_png_jpg.rf.413e08b8911420b2bfdc539a77c6f7db.jpg;640;640;Tank;271;170;365;417
059_images343-2-_jpg.rf.4141758641837f79f98ddee2214cb9ef.jpg;300;168;Tank;51;9;276;152
